         396379 function calls (384047 primitive calls) in 4.043 seconds

   Ordered by: standard name

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        8    0.000    0.000    0.000    0.000 _collections.py:214(add)
        1    0.000    0.000    0.000    0.000 _collections.py:230(extend)
        1    0.000    0.000    0.000    0.000 _collections.py:30(RecentlyUsedContainer)
        2    0.000    0.000    0.000    0.000 _collections.py:46(__init__)
        1    0.000    0.000    0.000    0.000 _collections.py:53(__getitem__)
        1    0.000    0.000    0.000    0.000 _collections.py:60(__setitem__)
        2    0.000    0.000    0.001    0.000 _collections.py:91(clear)
       43    0.000    0.000    0.000    0.000 _collections_abc.py:392(__subclasshook__)
        3    0.000    0.000    0.000    0.000 _collections_abc.py:406(__subclasshook__)
       10    0.000    0.000    0.000    0.000 _collections_abc.py:657(get)
        8    0.000    0.000    0.000    0.000 _collections_abc.py:664(__contains__)
        8    0.000    0.000    0.000    0.000 _collections_abc.py:676(items)
        8    0.000    0.000    0.000    0.000 _collections_abc.py:698(__init__)
        2    0.000    0.000    0.000    0.000 _collections_abc.py:701(__len__)
        4    0.000    0.000    0.000    0.000 _collections_abc.py:72(_check_methods)
      276    0.000    0.000    0.002    0.000 _collections_abc.py:742(__iter__)
        8    0.000    0.000    0.000    0.000 _collections_abc.py:824(update)
        1    0.000    0.000    0.000    0.000 _compression.py:1(<module>)
        1    0.000    0.000    0.000    0.000 _compression.py:33(DecompressReader)
        1    0.000    0.000    0.000    0.000 _compression.py:9(BaseStream)
        1    0.000    0.000    0.001    0.001 _encoded_words.py:1(<module>)
        1    0.000    0.000    0.000    0.000 _encoded_words.py:73(_QByteMap)
        1    0.000    0.000    0.000    0.000 _exceptions.py:1(<module>)
        1    0.000    0.000    0.000    0.000 _exceptions.py:105(SAXNotRecognizedException)
        1    0.000    0.000    0.000    0.000 _exceptions.py:115(SAXNotSupportedException)
        1    0.000    0.000    0.000    0.000 _exceptions.py:125(SAXReaderNotAvailable)
        1    0.000    0.000    0.000    0.000 _exceptions.py:46(SAXParseException)
        1    0.000    0.000    0.000    0.000 _exceptions.py:9(SAXException)
        1    0.000    0.000    0.000    0.000 _html5lib.py:116(TreeBuilderForHtml5lib)
        1    0.000    0.000    0.367    0.367 _html5lib.py:2(<module>)
        1    0.000    0.000    0.000    0.000 _html5lib.py:236(AttrList)
        1    0.000    0.000    0.000    0.000 _html5lib.py:266(Element)
        1    0.000    0.000    0.000    0.000 _html5lib.py:41(HTML5TreeBuilder)
        1    0.000    0.000    0.000    0.000 _html5lib.py:460(TextNode)
        9    0.000    0.000    0.002    0.000 _htmlparser.py:104(handle_startendtag)
      541    0.004    0.000    0.049    0.000 _htmlparser.py:119(handle_starttag)
      541    0.001    0.000    0.023    0.000 _htmlparser.py:171(handle_endtag)
        1    0.000    0.000    0.000    0.000 _htmlparser.py:18(HTMLParseError)
      860    0.001    0.000    0.003    0.000 _htmlparser.py:189(handle_data)
        3    0.000    0.000    0.000    0.000 _htmlparser.py:193(handle_charref)
        1    0.000    0.000    0.041    0.041 _htmlparser.py:2(<module>)
       14    0.000    0.000    0.001    0.000 _htmlparser.py:251(handle_comment)
        1    0.000    0.000    0.000    0.000 _htmlparser.py:260(handle_decl)
        1    0.000    0.000    0.000    0.000 _htmlparser.py:294(HTMLParserTreeBuilder)
        1    0.000    0.000    0.000    0.000 _htmlparser.py:307(__init__)
        2    0.000    0.000    0.000    0.000 _htmlparser.py:335(prepare_markup)
        1    0.000    0.000    0.129    0.129 _htmlparser.py:369(feed)
        1    0.000    0.000    0.000    0.000 _htmlparser.py:55(BeautifulSoupHTMLParser)
        1    0.000    0.000    0.000    0.000 _htmlparser.py:65(__init__)
        1    0.000    0.000    0.139    0.139 _inputstream.py:1(<module>)
        1    0.000    0.000    0.000    0.000 _inputstream.py:148(HTMLUnicodeInputStream)
        1    0.000    0.000    0.000    0.000 _inputstream.py:17(<listcomp>)
        1    0.000    0.000    0.000    0.000 _inputstream.py:18(<listcomp>)
        1    0.000    0.000    0.000    0.000 _inputstream.py:19(<listcomp>)
        1    0.000    0.000    0.000    0.000 _inputstream.py:378(HTMLBinaryInputStream)
        1    0.000    0.000    0.000    0.000 _inputstream.py:51(BufferedStream)
        1    0.000    0.000    0.000    0.000 _inputstream.py:578(EncodingBytes)
        1    0.000    0.000    0.000    0.000 _inputstream.py:676(EncodingParser)
        1    0.000    0.000    0.000    0.000 _inputstream.py:864(ContentAttrParser)
        5    0.000    0.000    0.000    0.000 _internal_utils.py:14(to_native_string)
        1    0.000    0.000    0.204    0.204 _internal_utils.py:3(<module>)
        1    0.000    0.000    0.000    0.000 _internal_utils.py:30(unicode_is_ascii)
        1    0.000    0.000    0.004    0.004 _lxml.py:2(<module>)
        1    0.000    0.000    0.002    0.002 _markupbase.py:1(<module>)
       14    0.000    0.000    0.001    0.000 _markupbase.py:168(parse_comment)
        1    0.000    0.000    0.000    0.000 _markupbase.py:23(ParserBase)
        1    0.000    0.000    0.000    0.000 _markupbase.py:36(reset)
